,name,prices,rating,url
21,Gigabyte GV-N1030OC-2GI Nvidia GeForce GT 1030 OC 2G Graphics Card,{},4.4 out of 5 stars,https://www.amazon.com/Gigabyte-GV-N1030OC-2GI-Nvidia-GeForce-Graphics/dp/B07646VQ6T/ref=sr_1_22/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-22&keywords=GPU
22,ASUS Radeon RX 560 14CU 4GB EVO OC Edition  GDDR5 DP HDMI DVI AMD Graphics Card (RX560-O4G-EVO),{},3.9 out of 5 stars,https://www.amazon.com/ASUS-Radeon-GDDR5-Graphics-RX560-O4G-EVO/dp/B076FL47B7/ref=sr_1_23/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-23&keywords=GPU
23,Gigabyte GeForce GTX 1060 WINDFORCE OC 6G (GV-N1060WF2OC-6GD),{},4.5 out of 5 stars,https://www.amazon.com/Gigabyte-GeForce-1060-WINDFORCE-GV-N1060WF2OC-6GD/dp/B01JNUO6BG/ref=sr_1_24/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-24&keywords=GPU
24,"CloverTale Graphics Card GPU Brace Support, Video Card Sag Holder Bracket, Anodized Aerospace Aluminum (Upgraded Version Black)",{},4.3 out of 5 stars,https://www.amazon.com/CloverTale-Aerospace-Upgraded-Version-Black/dp/B077LGLN4G/ref=sr_1_25/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-25&keywords=GPU
25,"EVGA GeForce GTX 1080 Ti FTW3 GAMING, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, 3x Async Fan Control, Optimized Airflow Design Graphics Card 11G-P4-6696-KR",{'Base price': ['Suggested Retail Price: $859.99']},4.6 out of 5 stars,https://www.amazon.com/EVGA-GeForce-GAMING-GDDR5X-Technology/dp/B06Y15DWXR/ref=sr_1_26/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-26&keywords=GPU
26,"Mackertop 1300W (110-240V) ATX Power Supply for 6 GPU/Graphics Card Eth Rig Ethereum Coin Miner Mining, 90% High Efficiency Switching Power Supply with 90+ Gold PSU for Ethereum",{},,https://www.amazon.com/Mackertop-110-240V-Graphics-Efficiency-Switching/dp/B07CXQB53F/ref=sr_1_27/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-27&keywords=GPU
27,ViewMax GeForce GT 730 4GB GDDR3 128 Bit PCI Express (PCIe) DVI Video Card HDMI & HDCP Support - Product code name : AMERICAN WARRIOR EDITION,{},3.6 out of 5 stars,https://www.amazon.com/ViewMax-GeForce-GDDR3-Express-Support/dp/B00NWPKQZO/ref=sr_1_28/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-28&keywords=GPU
28,ASUS Graphics Cards R5230-SL-1GD3-L,{'Base price': ['Suggested Retail Price: $42.99']},4.2 out of 5 stars,https://www.amazon.com/Asus-R5230-SL-1GD3-L-ASUS-Graphics-Cards/dp/B00KA849PE/ref=sr_1_29/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-29&keywords=GPU
29,Professional 8 GPU Miner Case Aluminum Stackable Mining Case Rig Open Air Frame For Ethereum(ETH)/ETC/ ZCash Excellent air convection design to improve GPU performance and life(WITHOUT FANS)),{},3.5 out of 5 stars,https://www.amazon.com/Professional-Stackable-Excellent-convection-performance/dp/B073Q2CN14/ref=sr_1_30/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-30&keywords=GPU
30,ASUS ROG-STRIX-RX580-O8G-GAMINGOC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card,{},4.3 out of 5 stars,https://www.amazon.com/ASUS-ROG-STRIX-RX580-O8G-GAMINGOC-GDDR5-Ready-Graphics/dp/B071D8YQJD/ref=sr_1_31/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-31&keywords=GPU
